"Yellow","Blue","Indigo","Sample","Site"
0.0178340458027037,0.0139352602086882,0.968230693988608,"416.bam","Coffin Patch"
0.996124801840977,0.00387519715902281,9.9999999962e-10,"417.bam","Coffin Patch"
0.0297594335311405,0.00941840069562567,0.960822165773234,"418.bam","Coffin Patch"
0.999997772066942,2.22693305798395e-06,9.9999999957e-10,"419.bam","Coffin Patch"
9.9999999985e-10,0.999999998,9.9999999985e-10,"426.bam","Tennessee Deep"
0.999999998,9.9999999963e-10,9.9999999963e-10,"427.bam","Tennessee Deep"
0.999999998,9.9999999959e-10,9.9999999959e-10,"428.bam","Tennessee Deep"
0.106534559504435,9.9999999999e-10,0.893465439495565,"429.bam","Tennessee Deep"
0.999999998,9.9999999983e-10,9.9999999983e-10,"446.bam","Alligator Deep"
0.058629120232352,9.9999999999e-10,0.941370878767648,"447.bam","Alligator Deep"
0.0461357970809881,0.0952532013285402,0.858611001590472,"448.bam","Alligator Deep"
0.0527996274822361,1.24148942985763e-06,0.947199131028334,"449.bam","Alligator Deep"
9.999999992e-10,9.999999992e-10,0.999999998,"450.bam","Alligator Deep"
0.0133493856447446,9.9999999999e-10,0.986650613355255,"456.bam","Cheeca Rocks"
0.992848832969553,0.00715116603044747,9.9999999969e-10,"457.bam","Cheeca Rocks"
0.999999998,9.9999999967e-10,9.9999999967e-10,"458.bam","Cheeca Rocks"
0.999999998,9.9999999958e-10,9.9999999958e-10,"459.bam","Cheeca Rocks"
0.989193802738957,0.0108061962610427,9.9999999953e-10,"460.bam","Cheeca Rocks"
9.9999999915e-10,9.9999999915e-10,0.999999998,"461.bam","Runway Deep"
7.1995608336471e-05,0.0332654707579052,0.966662533633758,"462.bam","Runway Deep"
0.00848510790975568,9.095512743459e-08,0.991514801135117,"463.bam","Runway Deep"
0.0149500908745466,0.985049908125453,9.9999999956e-10,"46.bam","DT.Pinnacle"
0.0110817430946079,9.9999999999e-10,0.988918255905392,"476.bam","Runway Deep"
0.005571245611061,0.0881035302301415,0.906325224158797,"478.bam","Runway Deep"
0.0352943470446806,0.0320449911585096,0.93266066179681,"479.bam","Runway Deep"
0.336874029441926,0.663125969558074,9.999999998e-10,"47.bam","DT.Pinnacle"
0.0156861952277599,9.9999999998e-10,0.98431380377224,"480.bam","Runway Deep"
0.999999998,9.9999999954e-10,9.9999999954e-10,"495.bam","Hens and Chickens"
0.988822569307998,0.0111774296920025,9.9999999985e-10,"496.bam","Hens and Chickens"
9.9999999967e-10,9.9999999967e-10,0.999999998,"497.bam","Hens and Chickens"
0.0265546061548192,0.0188013808272335,0.954644013017947,"499.bam","Hens and Chickens"
9.9999999948e-10,0.999999998,9.9999999948e-10,"505.bam","Davis Shallow"
0.944104908496188,1.43998344640834e-06,0.0558936515203656,"506.bam","Davis Shallow"
0.0201736903059375,9.9999999998e-10,0.979826308694063,"507.bam","Davis Shallow"
0.124059026729385,4.16025807274964e-06,0.875936813012542,"510.bam","Davis Deep"
6.76470196168e-08,1e-09,0.99999993135298,"511.bam","Davis Deep"
0.16431637087999,0.249093586650065,0.586590042469946,"512.bam","Davis Deep"
0.0184817182458353,0.0113812970220457,0.970136984732119,"514.bam","Davis Deep"
0.999999998,9.9999999952e-10,9.9999999952e-10,"51.bam","DT.Pinnacle"
9.9999999949e-10,0.999999998,9.9999999949e-10,"520_1.bam","Pickles Reef"
9.9999999921e-10,9.9999999921e-10,0.999999998,"520.bam","Conch Reef"
0.991733359875522,0.00826663912447764,9.9999999967e-10,"521_1.bam","Pickles Reef"
0.0193355680113941,0.980664430988606,9.9999999998e-10,"521.bam","Conch Reef"
9.9999999913e-10,9.9999999913e-10,0.999999998,"522.bam","Conch Reef"
0.0221520313501904,0.0744504351353582,0.903397533514451,"523_1.bam","Pickles Reef"
9.9999999967e-10,0.999999998,9.9999999967e-10,"523.bam","Conch Reef"
0.999999998,9.9999999958e-10,9.9999999958e-10,"524_1.bam","Pickles Reef"
0.18556741165857,0.0315408969088861,0.782891691432544,"524.bam","Conch Reef"
0.104268239539367,9.9999999999e-10,0.895731759460633,"525.bam","Molasses Deep"
9.9999999945e-10,9.9999999945e-10,0.999999998,"526.bam","Molasses Deep"
9.9999999998e-10,0.534593352149664,0.465406646850336,"527.bam","Molasses Deep"
0.0826140356054388,0.028827262664112,0.888558701730449,"528.bam","Molasses Deep"
9.9999999966e-10,9.9999999966e-10,0.999999998,"529.bam","Molasses Deep"
0.962707964754495,0.0372920342455054,9.9999999983e-10,"535.bam","Molasses Shallow"
0.783587667603838,0.0371908286104374,0.179221503785724,"536.bam","Molasses Shallow"
0.0277447450295993,0.164771184150489,0.807484070819912,"537.bam","Molasses Shallow"
0.830613734553038,0.0850389299638174,0.0843473354831448,"538.bam","Molasses Shallow"
0.782390410265822,0.135320040333993,0.0822895494001854,"539.bam","Molasses Shallow"
0.190819866909713,0.728523618006169,0.0806565150841177,"550.bam","Triangles"
0.0390641825279771,0.950561235059692,0.0103745824123313,"551.bam","Triangles"
0.86974845556881,0.0614564464332067,0.0687950979979838,"552.bam","Triangles"
0.968248538723185,0.0317514602768151,9.9999999988e-10,"553.bam","Triangles"
0.832794933440425,0.0967111021387581,0.0704939644208166,"560.bam","White Bank Rocks"
9.9999999943e-10,9.9999999943e-10,0.999999998,"561.bam","White Bank Rocks"
0.958830026360815,0.0300744316775165,0.0110955419616686,"562.bam","White Bank Rocks"
0.943560226604863,0.0564397723951367,9.9999999993e-10,"563.bam","White Bank Rocks"
0.985440758434005,0.0145592405659951,9.9999999957e-10,"564.bam","White Bank Rocks"
0.965071715628788,0.0349282833712118,9.9999999952e-10,"570.bam","Mosquito Bank"
0.979276013187212,0.0207239858127877,9.9999999995e-10,"571.bam","Mosquito Bank"
9.9999999952e-10,0.999999998,9.9999999952e-10,"572.bam","Mosquito Bank"
0.00655269513673799,9.9999999999e-10,0.993447303863262,"574.bam","Mosquito Bank"
9.9999999962e-10,0.999999998,9.9999999962e-10,"575.bam","SS Benwood"
9.9999999952e-10,0.999999998,9.9999999952e-10,"576.bam","SS Benwood"
9.9999999962e-10,9.9999999962e-10,0.999999998,"578.bam","SS Benwood"
9.9999999958e-10,0.999999998,9.9999999958e-10,"579.bam","SS Benwood"
0.0679546893080743,0.932045309691926,9.9999999982e-10,"585.bam","White Bank Rocks"
0.950663715992627,0.0493362830073732,9.9999999974e-10,"589.bam","White Bank Rocks"
0.96103033444725,0.03896966455275,9.999999998e-10,"590.bam","Cannon Patch"
0.661605605140489,0.138913741668844,0.199480653190668,"592.bam","Cannon Patch"
0.068754674709814,0.931245324290186,9.9999999995e-10,"594.bam","Cannon Patch"
0.990319425127685,0.00968057387231438,9.9999999954e-10,"607.bam","Grecian Rocks"
9.9999999938e-10,9.9999999938e-10,0.999999998,"610.bam","Higdons Reef"
9.9999999998e-10,3.264795893208e-07,0.999999672520411,"611.bam","Higdons Reef"
9.9999999929e-10,9.9999999929e-10,0.999999998,"612.bam","Higdons Reef"
9.9999999935e-10,9.9999999935e-10,0.999999998,"613.bam","Higdons Reef"
9.9999999953e-10,9.9999999953e-10,0.999999998,"614.bam","Higdons Reef"
0.376145008252638,0.623854990747362,9.9999999976e-10,"61.bam","Hospital Key"
9.9999999922e-10,9.9999999922e-10,0.999999998,"625.bam","Elbow Deep"
0.00953330889592886,9.9999999999e-10,0.990466690104071,"627.bam","Elbow Deep"
9.9999999944e-10,9.9999999944e-10,0.999999998,"628.bam","Elbow Deep"
9.9999999957e-10,9.9999999957e-10,0.999999998,"629.bam","Elbow Deep"
